what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1545898609943
error,log,,,"",1545898611670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898611901
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1545898612806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898613449
error,log,,,"",1545898614316
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545898628707
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545898629156
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545898631620
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545898631710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545898637312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1545898674555
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1545898675020
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1545898675028
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1545898675340
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1545898675346
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1545898675354
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1545898675359
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1545898675364
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1545898675497
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545898677750
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1545898679463
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1545898680575
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1545898681229
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1545898682170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898683435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898683509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898684008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898686392
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1545898688669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545898705238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898712175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898731054
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1545898732040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1545898738626
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1545898739800
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1545898739984
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1545898740117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1545898743021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898744119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898745926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898749070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898752012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898753426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898916919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898921739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898923933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898926017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898927158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545898930751
